Batch,Model,Timestamp,Notebook,NumRows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore-P,BERTScore-R,BERTScore-F1,BLEURT,Agg-Score
RKXMX,gpt-3.5-turbo-1106,2023-12-04 01:23:28,20231203_Step_87_Instructor_50_rows_Tr_03,50.0,0.3879203057290022,0.18533681483310502,0.3327825603448143,0.3415523458647231,0.8979883301258087,0.903330397605896,0.900259610414505,0.5742869430780411,0.47611724687989354
W3D3R,gpt-3.5-turbo-1106,2023-12-04 01:20:35,20231203_Step_87_Instructor_50_rows_Tr_02,50.0,0.3861013468601022,0.1792405885502902,0.3285894697258717,0.338109321770101,0.8978941535949707,0.902739156484604,0.8999071311950684,0.5729184591770172,0.4733513991016699
UIE4J,gpt-3.5-turbo-1106,2023-12-04 01:13:21,20231203_Step_87_Instr_Trials_50_rows_V1.00_Trial_01,50.0,0.368246403322894,0.1629352088900761,0.3062183562737735,0.3257417336951164,0.8910780715942382,0.9006740891933441,0.8954601180553436,0.5818776780366898,0.4629475529157554
J21GA,gpt-3.5-turbo-1106,2023-12-03 23:44:51,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.60,200.0,0.3361817667404753,0.1477543255676793,0.2727021657511966,0.2994756394924943,0.8758066284656525,0.8942586913704872,0.8845017877221107,0.5357220277190209,0.4353724147000965
EQW3C,gpt-3.5-turbo-1106,2023-12-03 23:29:23,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.60,200.0,0.2815960670288037,0.1208877352107061,0.215542261463948,0.2340058526615025,0.857170998454094,0.8915738359093666,0.8736559170484542,0.5186895902454853,0.4020743141994795
X67C8,gpt-3.5-turbo-1106,2023-12-03 21:57:16,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.60,200.0,0.3643687835852687,0.1720841654035073,0.3097728930045038,0.3235697120162903,0.8919215705990792,0.8976500490307808,0.8943376678228379,0.5575608526170254,0.4596248724866286
0R9YT,gpt-3.5-turbo-1106,2023-12-03 10:56:14,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.60,200.0,0.3543110222834921,0.1639291372540712,0.2946466982170146,0.3101345453303791,0.8874672225117683,0.8958060151338577,0.8911373046040535,0.5496591167151927,0.4507366558147648
81Y7Q,gpt-4-1106-preview,2023-12-03 10:52:14,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.30,2.0,0.5539007092198581,0.3612040133779264,0.4900709219858156,0.500709219858156,0.923484593629837,0.923000693321228,0.9229672849178314,0.6135561168193817,0.5883398092641626
LC8RW,gpt-4-1106-preview,2023-12-03 09:07:18,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.30,200.0,0.347262383878256,0.1555682477105543,0.2822367814555758,0.2958747839487752,0.8879940295219422,0.8954709547758103,0.8912508428096771,0.5463123054802418,0.444526112266861
O2O5N,gpt-4-1106-preview,2023-12-03 08:39:24,20231202_MediQA_Step_82_SectionText_BioBart+SBert+GPT-4_V3.20,200.0,0.2923839949705568,0.1124611670895289,0.2311038316846381,0.2541206222762886,0.8631872373819351,0.890051104426384,0.8761402493715287,0.5275096587836743,0.4079197803799853
