Batch,Model,Timestamp,Notebook,NumRows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore-P,BERTScore-R,BERTScore-F1,BLEURT,Agg-Score
D09BE,gpt-3.5-turbo-1106,2023-12-04 05:47:55,20231203_Step_88_SBert_Tr_02,50.0,0.3839212957411209,0.1666758053223959,0.3065304942774319,0.320362192673972,0.8933750188350678,0.902021632194519,0.8972338593006134,0.5845079743862152,0.46777388580555546
M4JN5,gpt-4-1106-preview,2023-12-04 05:39:18,20231203_Step_88_SBert_Tr_01,50.0,0.3536038082737069,0.1664080050003529,0.2898503679440515,0.3024620704655597,0.885137963294983,0.9035338377952576,0.8939763998985291,0.5919520008563995,0.4591581163946079
4FMNK,gpt-3.5-turbo-1106,2023-12-04 04:48:35,20231203_Step_87_Instructor_50_rows_Tr_29,200.0,0.3759024709411314,0.1659459331345399,0.3018817167307464,0.3180065102463459,0.8942128127813339,0.9025493294000626,0.898082931637764,0.5612666542083025,0.4606159413304969
CI8BQ,gpt-4-1106-preview,2023-12-04 04:41:22,20231203_Step_87_Instructor_50_rows_Tr_28,50.0,0.3757766773314878,0.1811221462788081,0.3040268427854564,0.3151707576101967,0.8885646426677704,0.9078292667865752,0.8978665268421173,0.6031814640760422,0.4723947314627824
30GF1,gpt-4-1106-preview,2023-12-04 04:32:35,20231203_Step_87_Instructor_50_rows_Tr_27,50.0,0.383758611842417,0.1695359009482352,0.3181069035250465,0.3291920123007398,0.8989196157455445,0.9033473467826844,0.900848661661148,0.5884172552824021,0.4721334666518498
AH4LO,gpt-4-1106-preview,2023-12-04 04:10:20,20231203_Step_87_Instructor_50_rows_Tr_26,50.0,0.3848838585368221,0.1807800233286988,0.3254428237271357,0.3363601869426311,0.8962930655479431,0.9073753952980042,0.9015790212154388,0.5899421715736389,0.4765255796763469
2L868,gpt-3.5-turbo-1106,2023-12-04 04:06:06,20231203_Step_87_Instructor_50_rows_Tr_25,50.0,0.3805576024164271,0.1680683400563092,0.314450598485743,0.3281974017097848,0.8998477625846862,0.9044649720191956,0.9018276083469392,0.5762263450026512,0.4682260988616139
7DU0G,gpt-3.5-turbo-1106,2023-12-04 04:02:18,20231203_Step_87_Instructor_50_rows_Tr_24,50.0,0.3927536344751742,0.1922513957831326,0.3277966075192349,0.3362788755123778,0.9031353878974916,0.9045564210414888,0.9035295152664184,0.5814222040772438,0.4795506714242408
46F7E,gpt-3.5-turbo-1106,2023-12-04 03:29:18,20231203_Step_87_Instructor_50_rows_Tr_15,50.0,0.4382322087820553,0.1960781730787815,0.3813478328597026,0.3939197351853564,0.9102908670902252,0.9116292130947112,0.9107082045078276,0.6229405522346496,0.5098613942926034
SIAOP,gpt-3.5-turbo-1106,2023-12-04 03:23:42,20231203_Step_87_Instructor_50_rows_Tr_22,100.0,0.3752108396143451,0.1754137891036626,0.3207308034539025,0.3298649077555242,0.8954060930013656,0.9035777008533478,0.8990965193510055,0.5502727809548378,0.4641449464955507
IVRNE,gpt-3.5-turbo-1106,2023-12-04 03:16:27,20231203_Step_87_Instructor_50_rows_Tr_21,100.0,0.3673381310029517,0.1765251871717418,0.2999229601737869,0.3092477580117045,0.8947036892175675,0.9008236825466156,0.8974202710390091,0.5520125415921211,0.4586438181959222
BX7JR,gpt-3.5-turbo-1106,2023-12-04 03:04:48,20231203_Step_87_Instructor_50_rows_Tr_19,200.0,0.3388716693162543,0.144501645744346,0.26933878717406,0.2809830271210436,0.8869272112846375,0.8967282617092133,0.8914632812142372,0.534669341146946,0.4357689449191687
BVAY8,gpt-3.5-turbo-1106,2023-12-04 02:54:37,20231203_Step_87_Instructor_50_rows_Tr_18,200.0,0.3759979838629476,0.1626156797914863,0.3089104025555934,0.3191959181003667,0.8990661153197288,0.8996503430604935,0.8990230914950371,0.5542080565541982,0.4601510428518526
