Notebook,Time,Model,Num Rows,ROUGE-1,BLEURT,BERTScore F1
20231205_Step_98_FInalRound_Clinical-T5_v1.00,2023-12-05 22:40:06,20231130_Clinic-T5-Base_18ep_Summ_Loss_0.85,200.0,0.2833487880952596,0.4693555434793234,0.6240244686603547
20231205_Step_96_FInalRound_Clinical-T5_v1.00,2023-12-05 22:32:49,20231130_Clinic-T5-Base_24ep_Summ_0.84,200.0,0.2969382831894471,0.4757687191665173,0.6303911000490189
20231205_Step_95_FInalRound_Clinical-T5_v1.00,2023-12-05 22:25:26,20231130_Clinic-T5-Sci_28ep_Summ_Loss_87,200.0,0.2685478627852568,0.4447924396768212,0.6101319819688797
20231205_Step_94_FInalRound_Clinical-T5_v1.00,2023-12-05 22:18:31,20231130_Clinic-T5-Sci_47ep_Summ_Loss_0.92,200.0,0.2399851416759172,0.4156977722793817,0.5732363253831864
20231205_Step_92_FInalRound_Clinical-T5_v1.00,2023-12-05 22:11:19,20231130_Clinic-T5-Sci_20ep_Summ_Loss_0.84,200.0,0.3024666926473476,0.4627447232976556,0.6300387591123581
20231205_Step_92_FInalRound_Clinical-T5_v1.00,2023-12-05 22:01:36,20231130_Clinic-T5-Lrg_5ep_Summ_Loss_1.16,200.0,0.2806591512121955,0.4614130868762731,0.6074508160352707
20231205_Step_91_FInalRound_Clinical-T5_v1.00,2023-12-05 21:51:59,20231201_Clinic-T5-Lrg_9ep_Summ_Loss_0.93,200.0,0.3433858939532904,0.4978533152863383,0.6534873068332672
20231205_Step_90_FInalRound_Clinical-T5_v1.00,2023-12-05 21:41:47,20231201_Clinic-T5-Lrg_12ep_Summ_Loss_1.06,200.0,0.3433858939532904,0.4978533152863383,0.6534873068332672
20231205_Step_89_Back2BioBart_Tr_53_v3.20,2023-12-05 20:48:52,20231201_BioBart-Large_14ep_Summ_Loss_0.93,200.0,0.3723252615243512,0.5049349311366677,0.6879582285881043
20231205_Step_89_Back2BioBart_Tr_52_v3.20,2023-12-05 20:43:13,20231201_BioBart-Large_8ep_Summ_Loss_0.84,200.0,0.3723252615243512,0.5049349311366677,0.6879582285881043
