Notebook,Time,Model,Num Rows,ROUGE-1,BLEURT,BERTScore F1
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.70,2023-12-08 22:49:09,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3543779218250773,0.4925619274005294,0.6748437762260437
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.60,2023-12-08 22:43:51,20231207_Step_98_Retrain_Instrn_Bart-S_4ep_Loss_0.40,200.0,0.3425422299581971,0.4718950952589512,0.6745746016502381
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.50,2023-12-08 22:37:31,20231207_Step_98_Retrain_Instrn_Bart-S_9ep_Loss_0.42,200.0,0.3812187599509692,0.5057077550888062,0.6928086161613465
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.40,2023-12-08 22:31:51,20231207_Step_98_Retrain_Instrn_Bart-S_9ep_Loss_0.42,200.0,0.3901146319143296,0.5078935903310776,0.6916204273700715
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.30,2023-12-08 22:27:19,20231207_Step_98_Retrain_Instrn_Bart-S_9ep_Loss_0.42,200.0,0.3901146319143296,0.5078935903310776,0.6916204273700715
20231208_Step_Z103_INFERENCE_AUGMENTED_Bart_Samsum_v1.20,2023-12-08 22:18:20,20231207_Step_98_Retrain_Instrn_Bart-S_6ep_Loss_Loss_0.33,200.0,0.2322062217770673,0.3445328545942903,0.5954967737197876
20231208_Step_Z103_INFERENCE_AUGMENTED_Bart_Samsum_v1.10,2023-12-08 22:09:30,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4076179699557899,0.5178080249577761,0.6939468502998352
20231208_Step_Z103_INFERENCE_AUGMENTED_Bart_Samsum_v1.00,2023-12-08 22:02:26,20231207_Step_101_Retrain_Augmn_Instrn_BartS_8ep_Loss_0.05,200.0,0.3714352250262336,0.4867213113605976,0.6743967741727829
20231208_Step_Z106_INFERENCE_AUGMENTED_Clinical-T5_v1.20,2023-12-08 21:47:23,20231208_Step_Z103_Retrain_Augmn_Instrn_ClinT5_3ep_Loss_0.39,200.0,0.3221825928586211,0.4956146332994103,0.634458401799202
20231208_Step_Z106_INFERENCE_AUGMENTED_Clinical-T5_v1.20,2023-12-08 21:38:11,20231208_Step_Z103_Retrain_Augmn_Instrn_ClinT5_3ep_Loss_0.39,200.0,0.3206787819452167,0.4892314256355166,0.6368093609809875
20231208_Step_Z106_INFERENCE_AUGMENTED_Clinical-T5_v1.00,2023-12-08 19:39:28,20231208_Step_Z103_Retrain_Augmn_Instrn_ClinT5_2ep_Loss_0.34,200.0,0.2247971847693499,0.5078942672908304,0.5078665688633919
20231207_Step_Z103_INFERENCE_AUGMENTED_Bart_Samsum_v1.30,2023-12-08 10:11:06,20231207_Step_101_Retrain_Augmn_Instrn_BartS_8ep_Loss_0.05,200.0,0.3585800840156066,0.4747430618852377,0.6667547285556793
20231207_Step_Z104_INFERENCE_AUGMENTED_BioBart_v1.10,2023-12-08 08:39:06,20231207_Step_101_Retrain_Augmn_Instrn_BioBart_Xep_Loss_0.45,200.0,0.3634621628537303,0.5028814858570695,0.6871430367231369
20231207_Step_Z104_INFERENCE_AUGMENTED_BioBart_v1.10,2023-12-08 08:32:46,20231207_Step_101_Retrain_Augmn_Instrn_BioBart_Xep_Loss_0.45,200.0,0.3795576865372393,0.5097141639143228,0.6911186844110488
20231207_Step_Z104_INFERENCE_AUGMENTED_BioBart_v1.00,2023-12-08 08:26:55,20231207_Step_101_Retrain_Augmn_Instrn_BioBart_Xep_Loss_0.45,200.0,0.3795576865372393,0.5097141639143228,0.6911186844110488
20231207_Step_Z103_INFERENCE_AUGMENTED_Bart_Samsum_v1.00,2023-12-08 08:06:37,20231207_Step_101_Retrain_Augmn_Instrn_BartS_Xep_Loss_0.52,200.0,0.3586685769313228,0.4807455004379154,0.6802514016628265
