Notebook,Time,Model,Num Rows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.90,2023-12-08 23:50:33,20231205_Bart-lg-samsum_5ep_Summ_Loss_1.02,200.0,0.3776802740644254,0.18794285071128997,0.3131973700849936,0.3131973700849936,0.6751739978790283,0.7015440940856934,0.6821789145469666,0.5130074230581522,0.3978673670918036
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.80,2023-12-08 23:44:53,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3946097506937229,0.1883751705409574,0.3258108050410738,0.3258108050410738,0.6776319146156311,0.7120650172233581,0.6890515267848969,0.5220293831080198,0.4076145735349574
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.70,2023-12-08 23:40:14,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3959701100586713,0.1952994100381684,0.327981440255198,0.327981440255198,0.6687963783740998,0.7110520482063294,0.6838787078857422,0.5183666806668044,0.408246298193297
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.60,2023-12-08 23:34:50,20231205_Bart-lg-samsum_4ep_Summ_Loss_0.85,200.0,0.40311936311922,0.2064776276594445,0.3347661055223976,0.3347661055223976,0.674592262506485,0.7111691832542419,0.6867102205753326,0.5132462986558676,0.4131809535091099
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.40,2023-12-08 23:29:39,20231206_Bart-Samsum_Retrain_4ep_Summ_Loss_Loss_0.86,200.0,0.4016669910285331,0.2052484493093836,0.331818080907136,0.331818080907136,0.686718201637268,0.7121892392635345,0.693304854631424,0.5176757843792439,0.4135887068604761
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.30,2023-12-08 23:24:33,20231206_Bart-Samsum_Retrain_4ep_Summ_Loss_Loss_0.86,200.0,0.40311936311922,0.2064776276594445,0.3347661055223976,0.3347661055223976,0.674592262506485,0.7111691832542419,0.6867102205753326,0.5132462986558676,0.4131809535091099
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.30,2023-12-08 23:19:25,20231206_Bart-Samsum_Retrain_4ep_Summ_Loss_Loss_1.18,200.0,0.3251720339088538,0.1539195903998619,0.2697031733838186,0.2697031733838186,0.6665073335170746,0.6750471353530884,0.6659467875957489,0.511556510925293,0.3660002115995658
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.20,2023-12-08 23:13:47,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3959701100586713,0.1952994100381684,0.327981440255198,0.327981440255198,0.6687963783740998,0.7110520482063294,0.6838787078857422,0.5183666806668044,0.408246298193297
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.10,2023-12-08 23:08:53,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3856374692556633,0.1960522808028982,0.3154498124124013,0.3154498124124013,0.6763034105300904,0.7049793899059296,0.6852463901042938,0.5164988825470209,0.4023891079224464
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v2.00,2023-12-08 23:04:10,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3946097506937229,0.1883751705409574,0.3258108050410738,0.3258108050410738,0.6776319146156311,0.7120650172233581,0.6890515267848969,0.5220293831080198,0.4076145735349574
20231208_Step_Z103_INFERENCE_Instr_Bart_Samsum_v1.90,2023-12-08 22:58:58,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.3144626539587322,0.1284210554190736,0.2546639895854771,0.2546639895854771,0.6108263611793519,0.6541450142860412,0.6268701791763306,0.4114272752404213,0.3317515238275853
