Notebook,Time,Model,Num Rows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 22:39:14,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.3509699151171969,0.1575453174395764,0.2777494998093047,0.2777494998093047,0.5799584701657295,0.641898575425148,0.6012512773275376,0.4857252875342964,0.3584984661728695
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 22:20:56,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3666672021024618,0.1748707799181788,0.2928266300802574,0.2928266300802574,0.6140929520130157,0.6354753732681274,0.6181733280420303,0.4979039802029729,0.3738780917376931
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 22:11:04,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3571681019977849,0.1712464173175149,0.2925522889225163,0.2925522889225163,0.6176478445529938,0.6347785383462906,0.619423246383667,0.4911232086643576,0.3706775920347262
20231206_Step_94_FinalRound_Bart-Retrail_Prompt_Tr04,2023-12-07 05:16:08,biobart-v2-base,200.0,0.226450074130438,0.1034127094991359,0.2088591300801713,0.2088591300801713,0.678288871049881,0.5783303916454315,0.6157337188720703,0.389983852468431,0.2922164358550697
20231206_Step_94_FinalRound_Bart-Retrail_Prompt_Tr04,2023-12-07 05:07:22,biobart-v2-base,200.0,0.0382653230898972,0.0017273935165744,0.0354386987071845,0.0354386987071845,0.4816218540072441,0.4863515406847,0.4793391495943069,0.2069426287338137,0.1328586487248269
20231206_Step_94_FinalRound_Bart-Retrail_Prompt_Tr11,2023-12-07 04:37:26,biobart-v2-base,200.0,0.2618294194483216,0.1209704350638822,0.2429865295104828,0.2429865295104828,0.6421988874673843,0.5156215026974678,0.5621509164571762,0.4005491865798831,0.3052455027617048
20231206_Step_94_FinalRound_Bart-Samsun_Tr11,2023-12-07 03:26:28,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.2891628424041835,0.1174139343581265,0.2459616597575265,0.2459616597575265,0.6132323041558265,0.5760569974780083,0.5868132993578911,0.4405070734396578,0.3209700781791519
20231206_Step_94_FinalRound_Bart-Samsun_Tr01,2023-12-07 02:43:25,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.3070864074459674,0.126877850978352,0.2649442700492388,0.2649442700492388,0.6671666651964188,0.6409501552581787,0.6469239622354508,0.4471715717762708,0.3429913887557531
20231206_Step_94_FinalRound_Bart-Samsun_Tr01,2023-12-06 23:19:05,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.4282475109096605,0.1911238938097324,0.3795161350819512,0.3795161350819512,0.7377051025629043,0.7123483926057815,0.7208539873361588,0.5100450950860977,0.4348837928842585
20231206_Step_94_FinalRound_Bart-Samsun_Tr01,2023-12-06 23:13:49,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.4282475109096605,0.1911238938097324,0.3795161350819512,0.3795161350819512,0.7377051025629043,0.7123483926057815,0.7208539873361588,0.5100450950860977,0.4348837928842585
20231206_Step_94_FinalRound_Bart-Samsun_Tr01,2023-12-06 22:50:24,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.4282475109096605,0.1911238938097324,0.3795161350819512,0.3795161350819512,0.7377051025629043,0.7123483926057815,0.7208539873361588,0.5100450950860977,0.4348837928842585
20231206_Step_94_FinalRound_Bart-Samsun_Tr01,2023-12-06 22:40:22,20231206_Bart-Samsum_Retrain_3ep_Summ_Loss_0.90,200.0,0.4282475109096605,0.1911238938097324,0.3795161350819512,0.3795161350819512,0.7377051025629043,0.7123483926057815,0.7208539873361588,0.5100450950860977,0.4348837928842585
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 07:15:22,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.3929295517330471,0.1980409621035798,0.3228194120866507,0.3228194120866507,0.6925319164991379,0.6949898451566696,0.6879783779382705,0.5119045922160148,0.4060820513607023
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 06:58:00,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.3929295517330471,0.1980409621035798,0.3228194120866507,0.3228194120866507,0.6925319164991379,0.6949898451566696,0.6879783779382705,0.5119045922160148,0.4060820513607023
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 06:51:10,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,2.0,0.6979166666666667,0.5808510638297872,0.6770833333333334,0.6770833333333334,0.8634604513645172,0.8207978010177612,0.8409743010997772,0.7037682831287384,0.6962794968986061
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 06:33:32,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.1171907438485694,0.0227318281012339,0.0817781944107553,0.0817781944107553,0.4892167493700981,0.5210022822022438,0.5003561094403267,0.2326043216139078,0.1727398986375914
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 06:18:55,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.3973222285711167,0.1998385991124743,0.3276607633607319,0.3276607633607319,0.69211505651474,0.7000914007425308,0.6905691355466843,0.5194572918862105,0.4104181303063249
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 05:46:30,20231205_Bart-lg-samsum_4ep_Summ_Loss_0.85,200.0,0.3983016376746935,0.2019379769598756,0.3274946907172714,0.3274946907172714,0.6940117001533508,0.7037001043558121,0.6922309637069702,0.5135331048071385,0.4101655107638701
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 05:40:26,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4056456497128071,0.2017874464211216,0.3324598937567586,0.3324598937567586,0.6907636553049088,0.7014258831739426,0.6897617667913437,0.5190649705380201,0.4135299368294683
20231205_Step_92_Tr01_REFINE_Rouge_Bart_Samsum_v1.00,2023-12-06 05:31:18,20231205_Bart-lg-samsum_4ep_Summ_Loss_0.85,200.0,0.3983016376746935,0.2019379769598756,0.3274946907172714,0.3274946907172714,0.6940117001533508,0.7037001043558121,0.6922309637069702,0.5135331048071385,0.4101655107638701
20231205_Step_91_FinalRound_Bart-SamsunTr15,2023-12-06 03:51:05,20231205_Bart-lg-samsum_4ep_Summ_Loss_0.85,200.0,0.4009469517810273,0.2038470900710819,0.3327761896433601,0.3327761896433601,0.6889594852924347,0.7117157638072967,0.694129478931427,0.5131488429009916,0.4129374571618747
20231205_Step_91_FinalRound_Bart-SamsunTr15,2023-12-06 03:44:52,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3981438680788411,0.1954227368275799,0.3313945110869319,0.3313945110869319,0.6796695291996002,0.7156723946332931,0.6918670803308486,0.5187143241614103,0.4111561719287572
20231205_Step_91_FinalRound_Bart-SamsunTr14,2023-12-06 03:32:48,20231205_Bart-lg-samsum_5ep_Summ_Loss_1.02,200.0,0.3765948125683175,0.1876737414942142,0.3117267688019586,0.3117267688019586,0.6842175781726837,0.702586579322815,0.6877320796251297,0.5088310856372118,0.3973808761547984
20231205_Step_91_FinalRound_Bart-SamsunTr13,2023-12-06 03:26:11,20231205_Bart-lg-samsum_5ep_Summ_Loss_1.10,200.0,0.3984855752818861,0.1978026985062657,0.3304971194998576,0.3304971194998576,0.6861822187900544,0.7073564797639846,0.6910441547632218,0.5028123549371958,0.4085231704147142
20231205_Step_91_FinalRound_Bart-SamsunTr12,2023-12-06 03:19:16,20231205_Bart-lg-samsum_8ep_Summ_Loss_1.09,200.0,0.4067065090026022,0.202734189561638,0.3359722950453513,0.3359722950453513,0.6833490639925003,0.7082922190427781,0.6901316583156586,0.5157080157846213,0.4145374937925371
20231205_Step_91_FinalRound_Bart-SamsunTr11,2023-12-06 03:10:52,20231205_Bart-lg-samsum_10ep_Summ_Loss_2.49,200.0,0.3877708538255814,0.1957999621446838,0.3184271466531951,0.3184271466531951,0.6775776773691178,0.7092018365859986,0.6882412016391755,0.5227834115177393,0.4052416204055951
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-06 00:27:38,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4066131908900237,0.2037441375329868,0.3367143183071219,0.3367143183071219,0.6849689722061157,0.7096334099769592,0.6913232207298279,0.5187581085413695,0.4156445490514086
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-06 00:20:01,20231128_Bart_1ep_Summ_Loss_0.71,200.0,0.2995695096820181,0.1373845949563321,0.2212061442994317,0.2212061442994317,0.5619335427880288,0.694057410955429,0.6135666608810425,0.5350734306871892,0.3380010808009076
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-06 00:12:21,20231129_Bart_4ep_Summ_Loss_0.77,200.0,0.2975575953590322,0.1340132221219619,0.2202955124759191,0.2202955124759191,0.5531987249851227,0.6836856991052628,0.6046616286039352,0.5108236375451087,0.3312745180969794
20231205_Step_91_FinalRound_Bart-SamsunTr09,2023-12-06 00:03:48,20231129_Bart_4ep_Summ_0.75,200.0,0.2953039025095304,0.1334095663798001,0.2254141525324486,0.2254141525324486,0.5494115650653839,0.6847395241260529,0.6022335916757584,0.5176493902504445,0.3332374593134051
20231205_Step_91_FinalRound_Bart-SamsunTr08,2023-12-05 23:56:07,20231129_BART_20ep_Summ_Loss_0.77,200.0,0.2877486438245425,0.1299606569901555,0.2194934712156798,0.2194934712156798,0.5435514152050018,0.6726994395256043,0.5942991435527801,0.4930162380635738,0.3240019374770687
20231205_Step_91_FinalRound_Bart-SamsunTr07,2023-12-05 23:48:45,20231129_Bart_5ep_Summ_Loss_0.71,200.0,0.301081828285601,0.1359336837605842,0.2262594661038919,0.2262594661038919,0.5625222250819206,0.6925419062376023,0.6132342189550399,0.5308977814018726,0.3389444074351469
20231205_Step_91_FinalRound_Bart-SamsunTr05,2023-12-05 23:40:14,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4066131908900237,0.2037441375329868,0.3367143183071219,0.3367143183071219,0.6849689722061157,0.7096334099769592,0.6913232207298279,0.5187581085413695,0.4156445490514086
20231205_Step_91_FinalRound_Bart-SamsunTr05,2023-12-05 23:33:52,20231129_Bart-Lg-samsum_7ep_Summ_Loss_0.95_R1_0.51,200.0,0.3848908516564332,0.1980821257258905,0.3258818802276919,0.3258818802276919,0.690663942694664,0.6928184539079666,0.686192798614502,0.4922233551368117,0.4021921485981702
20231205_Step_91_FinalRound_Bart-SamsunTr04,2023-12-05 23:26:53,20231129_Bart-Lg-samsum_8ep_Summ_Loss_1.0_R1_0.52,200.0,0.3848908516564332,0.1980821257258905,0.3258818802276919,0.3258818802276919,0.690663942694664,0.6928184539079666,0.686192798614502,0.4922233551368117,0.4021921485981702
20231205_Step_91_FinalRound_Bart-SamsunTr03,2023-12-05 23:20:18,20231129_Bart-lg-samsum_10ep_Summ_Loss_1.17_R1_0.51,200.0,0.3904653542250624,0.1952011396082093,0.3243910600272693,0.3243910600272693,0.6859256625175476,0.6958156377077103,0.6853150516748429,0.5001738088950515,0.4033229124096175
20231205_Step_91_FinalRound_Bart-SamsunTr02,2023-12-05 23:13:06,20231129_Bart-Lg-samsum_10ep_Summ_Loss_1.17,200.0,0.3904653542250624,0.1952011396082093,0.3243910600272693,0.3243910600272693,0.6859256625175476,0.6958156377077103,0.6853150516748429,0.5001738088950515,0.4033229124096175
20231205_Step_91_FInalRound_Clinical-T5_v1.00,2023-12-05 23:05:33,20231129_Bart-Lg-samsum_20ep_Summ_Loss_1.3,200.0,0.3904653542250624,0.1952011396082093,0.3243910600272693,0.3243910600272693,0.6859256625175476,0.6958156377077103,0.6853150516748429,0.5001738088950515,0.4033229124096175
20231205_Step_98_FInalRound_Clinical-T5_v1.00,2023-12-05 22:40:06,20231130_Clinic-T5-Base_18ep_Summ_Loss_0.85,200.0,0.2833487880952596,0.1349239426386098,0.249203014292979,0.249203014292979,0.623363521695137,0.6360053598880768,0.6240244686603547,0.4693555434793234,0.335009795243251
20231205_Step_96_FInalRound_Clinical-T5_v1.00,2023-12-05 22:32:49,20231130_Clinic-T5-Base_24ep_Summ_0.84,200.0,0.2969382831894471,0.1396893622825054,0.2580358758821777,0.2580358758821777,0.626719307899475,0.6438433885574341,0.6303911000490189,0.4757687191665173,0.343143202741974
20231205_Step_95_FInalRound_Clinical-T5_v1.00,2023-12-05 22:25:26,20231130_Clinic-T5-Sci_28ep_Summ_Loss_87,200.0,0.2685478627852568,0.1274162527637996,0.2364217043799484,0.2364217043799484,0.6085729837417603,0.622565096616745,0.6101319819688797,0.4447924396768212,0.3206219909924423
20231205_Step_94_FInalRound_Clinical-T5_v1.00,2023-12-05 22:18:31,20231130_Clinic-T5-Sci_47ep_Summ_Loss_0.92,200.0,0.2399851416759172,0.11063559436242,0.2116872328600236,0.2116872328600236,0.5639195382595062,0.5975018054246902,0.5732363253831864,0.4156977722793817,0.2938215499034921
20231205_Step_92_FInalRound_Clinical-T5_v1.00,2023-12-05 22:11:19,20231130_Clinic-T5-Sci_20ep_Summ_Loss_0.84,200.0,0.3024666926473476,0.147283891235616,0.2664174884806494,0.2664174884806494,0.6300035029649734,0.6409317076206207,0.6300387591123581,0.4627447232976556,0.3458948405423793
